"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"04/22/2026","X002CT35DT","B0FDB5PFKN","2IN-TRIDHATU-PYRAMID-SET-9","TREE MAISON CORONATING HOMES Tridhatu Pyramid | 2 Inch |Pack of 9 |Weight of 1 Pyramid- 10gm Approx |Vastu Dosh Nivaran | Positive Energy, Zone Balancing & Protection | for Home, Office & Temple Use","SELLABLE","149","0","0","0","0","0","0","0","0","0","0","0","149","0","TSWX"
"04/22/2026","X002D0R53X","B0F9X8SZ2T","BG-4-INCH-DHAN-KUBER","BRONGS Brass Kuber Statue | Height - 10 cm Aprrox | Weight - 226 Gram Approx | Vastu Idol for Home and Office | Zonal Placement -North | kubera Idol","SELLABLE","47","0","0","0","0","0","0","0","0","0","0","0","47","0","TSWX"
"04/22/2026","X002D0TY1J","B0F9X515D7","BG-RED-ELEPHANT","BRONGS Brass Red Elephant Statue | Height - 14 cm Aprrox | Weight - 1530 Gram Approx | Vastu Idol for Home and Office | Zonal Placement -South | Elephant Statue for Good Luck","SELLABLE","10","0","0","0","0","0","0","0","0","0","0","0","10","0","TSWX"
"04/22/2026","X002D34D53","B0FFH8H3TJ","ZODIAC-MAT-CRYSTAL-PENDULUM","TREE MAISON CORONATING HOMES Pendulum Mat with Crystal Dowsing Pendulum | Altar Tarot Reading Pad for Divination & Energy Work | Dowsing Pendulum Mat | Zodiac Mat |","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","NAX1"
"04/22/2026","X002D34D53","B0FFH8H3TJ","ZODIAC-MAT-CRYSTAL-PENDULUM","TREE MAISON CORONATING HOMES Pendulum Mat with Crystal Dowsing Pendulum | Altar Tarot Reading Pad for Divination & Energy Work | Dowsing Pendulum Mat | Zodiac Mat |","SELLABLE","40","0","0","0","0","0","0","0","0","0","0","0","40","0","TSWX"
"04/22/2026","X002D34HEP","B0FFHD695N","ZODIAC-MAT-RUDRAKSH-PENDULUM","TREE MAISON CORONATING HOMES Mat with Rudraksh Dowsing Pendulum | Altar Tarot Reading Pad for Divination & Energy Work | Dowsing Mat |","SELLABLE","44","0","0","0","0","0","0","0","0","0","0","0","44","0","TSWX"
"04/22/2026","X002D9TGPT","B0FF2854Y1","8CM-SELENITE-BOWL","TREE MAISON CORONATING HOMES 10 cm Selenite Crystal Bowl | White Crystal Bowl for Charging Crystals, Decor & Energy Cleansing | Elegant Spiritual Decor for Home & Meditation |Selenite Stone","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR8"
"04/22/2026","X002D9TGPT","B0FF2854Y1","8CM-SELENITE-BOWL","TREE MAISON CORONATING HOMES 10 cm Selenite Crystal Bowl | White Crystal Bowl for Charging Crystals, Decor & Energy Cleansing | Elegant Spiritual Decor for Home & Meditation |Selenite Stone","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CJB1"
"04/22/2026","X002D9TGPT","B0FF2854Y1","8CM-SELENITE-BOWL","TREE MAISON CORONATING HOMES 10 cm Selenite Crystal Bowl | White Crystal Bowl for Charging Crystals, Decor & Energy Cleansing | Elegant Spiritual Decor for Home & Meditation |Selenite Stone","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DED4"
"04/22/2026","X002D9TGPT","B0FF2854Y1","8CM-SELENITE-BOWL","TREE MAISON CORONATING HOMES 10 cm Selenite Crystal Bowl | White Crystal Bowl for Charging Crystals, Decor & Energy Cleansing | Elegant Spiritual Decor for Home & Meditation |Selenite Stone","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"04/22/2026","X002D9TGPT","B0FF2854Y1","8CM-SELENITE-BOWL","TREE MAISON CORONATING HOMES 10 cm Selenite Crystal Bowl | White Crystal Bowl for Charging Crystals, Decor & Energy Cleansing | Elegant Spiritual Decor for Home & Meditation |Selenite Stone","SELLABLE","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","ISK3"
