(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0CMQQ9KDH,B0CMQQ9KDH,TREE MAISON CORONATING HOMES Brass Swastik (卐) Sathiya Wall Hanging Yantra | 5 Inches | Vastu Door Hanging for Najar Dosh |Weight-350gm Approx |Decorative Home Decor Symbol for Positive Vibes,BRASS-SWASTIK-ST1,"2,173",73,0.55%,0.43%,"3,232",105,0.55%,0.42%,99.82%,98.46%,253,6,11.64%,8.22%,"₹1,54,342.00","₹3,372.00",181,5
B0CDM63JPZ,B0CDM63JPZ,"TREE MAISON CORONATING HOMES Iron Strip | 0.5 INCH | Pack of 1 | Vastu Iron Strip for Toilet | Vastu Strip Remedy | Width-12mm, Thickness-0.2mm, Length-8 Feet Approx",LW-0.5INCH-IRON-ST1,813,57,0.20%,0.34%,"1,281",86,0.22%,0.34%,98.76%,100.00%,265,13,32.60%,22.81%,"₹60,681.00","₹2,961.00",179,12
B092J2JT6N,B092J2JT6N,TREE MAISON CORONATING HOMES Vastu Brass Nandi Cow Statue | 810 g Weight Approx | Vastu Remedy for Home & Office | Size- 9 X 11 Cm | Nandi Idol for Pooja | Vastu Brass Nandi Bull,FBA-VASTU-NANDI-BRASS-STATUE,"3,538",143,0.89%,0.84%,"5,226",220,0.90%,0.88%,95.16%,91.50%,189,22,5.34%,15.38%,"₹2,83,607.00","₹32,045.00",178,18
B09G9RP6HK,B09G9RP6HK,TREEMAISON Plastic Maha Vastu Dosh Sakti Chakra Remedy (Transparent),VASTU-SHAKTI-CHAKRA-02,"3,052",162,0.77%,0.96%,"4,462",241,0.77%,0.96%,99.01%,100.00%,180,16,5.90%,9.88%,"₹48,391.00","₹4,301.00",177,15
B09814QWSQ,B09814QWSQ,"Treemaison Paper Village Scene - Vastu Remedy, Painting Village Scene Without Frame, 17 Inch",VASTU-VILLAGE-PAINTING-WITHOUT-FRAME,"3,621",140,0.91%,0.83%,"5,401",206,0.93%,0.82%,97.72%,100.00%,184,8,5.08%,5.71%,"₹49,558.00","₹2,134.00",171,8
B09NSN5LP9,B09NSN5LP9,TREE MAISON CORONATING HOMES Vastu Yellow Tape | Size - 2 Inch (48 Mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy For Toilet | Vastu Tape For Main Door Entrance | Tape Remedy | Pack Of 1,2-INCH-VASTU-TAPE-YELLOW-ST1,594,36,0.15%,0.21%,855,54,0.15%,0.22%,98.93%,100.00%,179,13,30.13%,36.11%,"₹40,515.00","₹2,999.00",170,10
B09KXWG2QN,B09KXWG2QN,TREEMAISON Vastu Yellow Tape | Size - 1 Inch (24 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Tape Remedy | Pack of 1,YELLOW-1-INCH-TAPE-ST1,663,32,0.17%,0.19%,979,64,0.17%,0.25%,99.76%,100.00%,174,6,26.24%,18.75%,"₹32,947.00","₹1,134.00",166,6
B0CJMDY86H,B0CJMDY86H,TREE MAISON CORONATING HOMES Vastu Acrylic Brown Pendulum Board | Size- 6 inch | Dowsing Divination Metaphysical Message Board with Brass Pendulum (Pendulum Assorted) Spirit Board | Witch Board,BROWN-BOARD-PENDULUM-01,"2,533",76,0.64%,0.45%,"3,983",123,0.68%,0.49%,99.76%,100.00%,168,6,6.63%,7.89%,"₹50,174.00","₹1,808.00",165,6
B09MJ5Z5Y7,B09MJ5Z5Y7,TREE MAISON CORONATING HOMES Vastu Brass Eagle Statue | Size-5 X 8 X 15 Cm | 550 g Weight Approx. | Home Decor Statue | Vastu Idol for Home & Office | Vastu 3D Remedy | Zonal Placement -South-WEST,BRASS-EAGLE-SET1,"2,358",101,0.59%,0.60%,"3,356",144,0.58%,0.57%,99.93%,100.00%,165,11,7.00%,10.89%,"₹1,56,356.00","₹10,635.00",160,10
B0BHTCFVYP,B0BHTCFVYP,TREE MAISON CORONATING HOMES Brass Dowsing L Rods Pair Plastic Handle | Aura Energy Scanner | Finding Underground Water & Geopathic Stress | Reiki | Dowsing Rods | Pendulum Assorted,BRASS-L-DOWSING-ROD,"5,464",221,1.38%,1.30%,"8,128",343,1.40%,1.37%,99.92%,100.00%,150,4,2.75%,1.81%,"₹2,92,450.00","₹7,876.00",148,4
B08W46X939,B08W46X939,"TREEMAISON CORONATING HOMES Vastu Blue Color Tapes, Vastu Tape (4Inch,25 Meter Approx.)",VASTU-TAPE-BIG-BLUE,678,37,0.17%,0.22%,"1,055",52,0.18%,0.21%,100.00%,100.00%,155,17,22.86%,45.95%,"₹42,274.00","₹4,687.00",145,13
B0CDM3BQ1N,B0CDM3BQ1N,"TREE MAISON CORONATING HOMES Copper Strip | 0.5 INCH | Pack of 1 | Vastu Copper Strip for Toilet | Vastu Strip Remedy | Width-12mm, Thikness-0.2mm, Length-8 Feet Approx",LW-0.5INCH-COPPER-ST1,999,42,0.25%,0.25%,"1,539",63,0.26%,0.25%,99.70%,100.00%,215,14,21.52%,33.33%,"₹61,568.00","₹4,004.00",144,8
B0CDH92WJS,B0CDH92WJS,TREE MAISON CORONATING HOMES Vastu Green Tape | 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Tape for Vastu Correction | Tape for Toilet Correction | Pack of 1,3-INCH-TAPE-GREEN-ST-1,883,41,0.22%,0.24%,"1,186",47,0.20%,0.19%,99.34%,96.30%,147,4,16.65%,9.76%,"₹38,508.00","₹1,072.00",143,4
B0CR6269B5,B0CR6269B5,"TREE MAISON CORONATING HOMES Brass Strip | 1 INCH | Pack of 1 | Vastu Brass Strip for Toilet | Vastu Strip Remedy | Width-25mm, Thickness-0.2mm, Length-4 Feet Approx",4FEET-STRIP-1INCH-BRASS-SET-1,"1,057",63,0.27%,0.37%,"1,644",97,0.28%,0.39%,99.86%,100.00%,183,15,17.31%,23.81%,"₹51,291.00","₹3,935.00",143,8
B09NSMPJN2,B09NSMPJN2,TREE MAISON CORONATING HOMES Vastu Red Color Tape | Size - 2 Inch| Length- 20 Meter (Approx) |Vastu Remedy For Toilet | Main Door Entrance | Tape Remedy | Pack Of 1,2-INCH-TAPE-RED-ST1,517,23,0.13%,0.14%,701,32,0.12%,0.13%,99.67%,100.00%,136,7,26.31%,30.43%,"₹29,885.06","₹1,573.88",131,6
B09G3B3KDV,B09G3B3KDV,"TREEMAISON Aluminium Strip | 1 INCH | Pack of 1 | Vastu Aluminium Strip for Toilet | Vastu Strip Remedy | Width-25mm, Thickness-0.3mm, Length-8 Feet Approx",NW-ALUMINIUM-STRIP-1INCH-ST1,791,43,0.20%,0.25%,"1,255",63,0.22%,0.25%,99.82%,100.00%,153,3,19.34%,6.98%,"₹43,497.00",₹852.00,125,3
B0DGXJ58YX,B0DGXJ58YX,"Tree Maison CORONATING Homes Selenite Crystal Charging Plate | 3 Inch Approx | Selenite Plate for Crystal Cleansing, Re-Energy Work, Meditation & Pooja",SHREEYANTRA-ROUND-SELENITE-PLATE-4INCH,965,24,0.24%,0.14%,"1,416",34,0.24%,0.14%,99.42%,100.00%,155,7,16.06%,29.17%,"₹45,990.26","₹2,107.00",120,4
B0B77622F6,B0B77622F6,TREE MAISON CORONATING HOMES Vastu Combo of Five Color Tapes | Size - 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Pack of 5,3-INCH-TAPE-SET-5,"1,567",71,0.39%,0.42%,"2,160",96,0.37%,0.38%,99.16%,98.46%,129,8,8.23%,11.27%,"₹1,07,500.00","₹6,940.00",118,7
B0CDHC9XDB,B0CDHC9XDB,TREE MAISON CORONATING HOMES Vastu Yellow Tape | Size - 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door | Tape Remedy | Pack of 1,3-INCH-TAPE-YELLOW-ST-1,472,25,0.12%,0.15%,655,30,0.11%,0.12%,99.16%,100.00%,131,5,27.75%,20.00%,"₹34,981.00","₹1,325.00",117,4
B0FKZ7JMVB,B0FKZ7JMVB,TREE MAISON CORONATING HOMES Selenite Charging Plate for Crystals | 3 Inch Approx | Purify & Amplify Energy | Crystal Cleansing & Recharging | Boosts Clarity & Intuition | Spiritual Gifts for Healing,3-IN-ZODIAC-ROUND-SELENITE-PLATE,869,26,0.22%,0.15%,"1,286",41,0.22%,0.16%,99.40%,100.00%,124,5,14.27%,19.23%,"₹36,985.00","₹1,415.00",113,3
B09G39RV9L,B09G39RV9L,TREEMAISON Vastu Stainless Steel Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Steel Strip for Vastu | Pack of 1,NW-STAINLESS-STEEL-STRIP-0.5-ST1,"3,224",75,0.81%,0.44%,"4,134",90,0.71%,0.36%,99.53%,100.00%,131,10,4.06%,13.33%,"₹30,634.00","₹2,350.00",110,7
B0FCFC736X,B0FCFC736X,"BRONGS Vastu Yellow Vase | Height - 37 cm | Decorative Pot for Home & Office | Feng Shui Showpiece for Positive Energy, Prosperity & Good Luck | Resin Table Decor Gift",BG-37-CM-YELLOW-VASE,"1,585",63,0.40%,0.37%,"2,278",81,0.39%,0.32%,99.85%,100.00%,122,9,7.70%,14.29%,"₹1,11,490.00","₹8,397.00",108,6
B0CL2K3QD2,B0CL2K3QD2,"TREE MAISON CORONATING HOMES Vastu Shakti Chakra | Size- 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)",FBA-PLAIN-RED-SHAKTICHAKRA-7IN,"1,309",60,0.33%,0.35%,"1,812",94,0.31%,0.37%,96.96%,100.00%,107,8,8.17%,13.33%,"₹31,642.00","₹2,371.00",107,8
B0DD441C3M,B0DD441C3M,TREE MAISON CORONATING HOMES Vastu Acrylic Vedic Shakti Chakra | Size - 6 Inch | Health Chart | Vastu Shakti Chakra | Grid Map | Vastu Chakra | Vastu Remedy,VASTU-VEDIC-S.C-6IN,"1,195",42,0.30%,0.25%,"2,080",77,0.36%,0.31%,99.57%,100.00%,109,5,9.12%,11.90%,"₹29,490.00","₹1,366.00",103,5
B0B4DG2BGF,B0B4DG2BGF,"TREE MAISON CORONATING HOMES Vastu Acrylic Shakti Chakra | Size- 6 Inch | Featuring 45 Devtas, 16 Attributes | with Color | Health Chart | Rajas, Sattav, Tamas for vaastu Shashtra Remedy",6-INCH-SHAKTI-CHAKRA,"1,668",71,0.42%,0.42%,"2,507",104,0.43%,0.41%,99.85%,98.33%,102,8,6.12%,11.27%,"₹27,569.00","₹2,183.00",100,7
